timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-08-31T22:06:55,agricultural_drought_pipeline,7a20fdf2-0334-4103-8394-60c7d0cf3ce6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.2559510999999475,1.1643423440022394e-08,4.549081226853404e-08,60.0,0.0,10.0,4.210489999968559e-06,0.0,6.874286111067502e-07,4.897918611075309e-06,Canada,CAN,quebec,,,Windows-11-10.0.26100-SP0,3.13.7,3.0.4,8,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz,,,-71.2,46.8,7.842979431152344,machine,N,1.0
2025-08-31T22:32:41,agricultural_drought_pipeline,e6191b04-79e0-4683-b4b8-72067b5b5c76,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.2439699999995355,1.110318135343165e-08,4.5510437158063666e-08,60.0,0.0,10.0,4.017221666678475e-06,0.0,6.534388888919946e-07,4.670660555570469e-06,Canada,CAN,quebec,,,Windows-11-10.0.26100-SP0,3.13.7,3.0.4,8,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz,,,-71.2,46.8,7.842979431152344,machine,N,1.0
2025-08-31T22:36:50,agricultural_drought_pipeline,4d7a38b6-5dcf-482a-b33a-f310608b866c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.9574429999993299,4.353088030944245e-08,4.546576695372249e-08,60.0,0.0,10.0,1.5773565000017698e-05,0.0,2.5381205555580287e-06,1.8311685555575725e-05,Canada,CAN,quebec,,,Windows-11-10.0.26100-SP0,3.13.7,3.0.4,8,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz,,,-71.2,46.8,7.842979431152344,machine,N,1.0
